Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT9999,GUILDHALL,Guildhall Public,POBox 9,Rte. 102 N,Essex,N/R,N/R,N/R,427,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,Municipal,N/R,N/R,"Rte. 102 N
Guidlhall, VT 05905
(44.56758508700045, -71.58903136899966)",,N/R,Guidlhall
2011-2012,VT0210,"CRAFTSBURY, EAST",John W. Simpson Memorial,300 Shields Ln.,1972 E Craftsbury Rd,Orleans,(802) 586-9692,N/R,N/R,1180,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"1972 E Craftsbury Rd
Craftsbury Common, VT 05827
(44.63322055500049, -72.32728433299962)",,N/A,Craftsbury Common
2011-2012,VT0136,"RYEGATE, SOUTH",South Ryegate Public,140 Church St.,140 Church St.,Caledonia,N/R,N/R,N/R,1255,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,2300,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"140 Church St.
South Ryegate, VT 05069
(44.186405771000466, -72.14030334299963)",,N/R,South Ryegate
2011-2012,VT0119,POULTNEY,Poultney Public,"205 Main St., Ste 1","205 Main St.,",Rutland,(802) 287-5556,34,06/30/2012,3446,0,0,38,0.9375,53,1.325,91,2.2625,0,1680,$0.00,$0.00,$0.00,$0.00,$0.00,$107113.00,$31.08,$3036.00,$110149.00,$100.00,$102.00,$0.00,$202.00,N/A,N/A,N/A,N/A,$15379.00,$4.46,$61012.00,$20289.00,$81301.00,$13469.00,$110149.00,$31.96,$202.00,$0 ,9325,4800,14125,4.1,0,838,492,1330,233,124,357,15812,42,1,43,25,0,2173,319,2492,72.32%,36296,10.53,4784,1.39,17789,8875,26664,7.74,1.69%,62,343,22,36,5,63,257,712,44,1013,0.29,23,0,3,14,10,N/A,75,25,high speed,No,N/A,y-86,Municipal,Yes,Mandarin,"205 Main St.,
Poultney, VT 05764
(43.51705210400047, -73.23696118299966)",1191,poultneypubliclibrary.com,Poultney
2011-2012,VT0191,WINDSOR,Windsor Public,43 State St.,43 State St.,Windsor,(802) 674-2556,35,12/31/2011,3575,32,0.7875,56,1.3875,22,0.55,78,1.9375,37,3600,$0.00,$5400.00,$0.00,$11100.00,$16500.00,$64000.00,$17.90,$28727.00,$93227.00,$200.00,$15713.00,$0.00,$15913.00,$500.00,$11713.00,N/A,$1019.00,$12732.00,$3.56,$53261.00,$4770.00,$58031.00,$32775.00,$103538.00,$28.96,$0.00,"$16,000 ",10899,5679,16578,4.64,0,202,366,568,340,128,468,17614,28,6,34,2,0,N/A,N/A,741,20.73%,15808,4.42,832,0.23,9960,8278,18238,5.1,1.04%,256,293,36,170,7,213,98,2632,63,2793,0.78,189,0,0,11,8,75,45,8,high speed,No,N/A,y-86,Incorporated,Yes,koha,"43 State St.
Windsor, VT 05089
(43.4805225450005, -72.38846438699966)",1213,windsorlibrary.org,Windsor
2011-2012,VT0077,IRASBURG,Leach Public,PO Box 178,130 Park Ave.,Orleans,(802) 754-2526,N/R,N/R,1324,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"130 Park Ave.
Irasburg, VT 05849
(44.80288147100049, -72.27829179399964)",87,N/R,Irasburg
2011-2012,VT0103,NEWBURY,Tenney Memorial,PO Box 85 ,4886 Main St. S,Orange,(802) 866-5366,20,12/31/2011,1170,0,0,25,0.625,0,0,25,0.625,6,2720,$0.00,$0.00,$0.00,$0.00,$0.00,$14000.00,$11.97,$18321.00,$32321.00,$0.00,$55.00,$0.00,$55.00,N/A,N/A,N/A,N/A,$6076.00,$5.20,N/A,N/A,$20802.00,$18838.00,$45716.00,$39.09,$0.00,$0 ,N/A,N/A,14000,11.97,0,N/A,N/A,600,N/A,N/A,220,14820,13,0,13,24,0,208,N/A,208,17.79%,4680,4,728,0.62,6800,1200,8000,6.84,0.54%,N/A,200,6,N/A,N/A,6,N/A,180,N/A,180,0.15,N/A,N/A,N/A,6,4,N/A,25,6,high speed,No,N/A,y-86,Incorporated,No,N/A,"4886 Main St. S
Newbury, VT 05051
(44.08021397800047, -72.05636897499966)",85,http://tenneymemoriallibrary.org/,Newbury
2011-2012,VT0199,"HARTFORD, WEST",West Hartford,PO Box 26,5133 Rte. 14,Windsor,(802) 295-7992,N/R,N/R,700,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,1500,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"5133 Rte. 14
West Hartford, VT 05084
(43.71250218500046, -72.41741609399963)",26,N/R,West Hartford
2011-2012,VT0034,CAVENDISH,Cavendish Fletcher Community,PO Box 266,573 Main St.,Windsor,(802) 226-7503,43.01923077,06/30/2012,1430,0,0,38,0.95,17,0.425,55,1.375,5,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$33800.00,$23.64,$6974.00,$40774.00,$100.00,$40.00,$2000.00,$2140.00,N/A,$4622.00,$460.00,$1331.00,$6413.00,$4.48,$49797.00,$7620.00,$57417.00,$4597.00,$68427.00,$47.85,$1717.00,$0 ,N/A,N/A,12974,9.07,120,N/A,N/A,693,236,72,308,13975,N/A,N/A,34,25,0,947,110,1057,73.92%,21424,14.98,780,0.55,N/A,N/A,9023,6.31,0.65%,24,82,12,142,0,154,264,1185,0,1449,1.01,0,37,0,10,9,48,72,34,high speed,Children Only,sonic wall,y-86,Community (joint school-public),Yes,Follett Destiny,"573 Main St.
Proctorsville, VT 05153
(43.383584544000485, -72.63697601699965)",266,www.cavendishlibrary.org,Proctorsville
2011-2012,VT0107,NEWPORT,Goodrich Memorial,202 Main St.,202 Main St,Orleans,(802) 334-7902,45,12/31/2011,7397,0,0,40,1,135,3.375,175,4.375,10,11400,$0.00,$0.00,$0.00,$0.00,$0.00,$123000.00,$16.63,$77733.00,$202183.00,$100.00,$734.00,$1800.00,$2634.00,$1450.00,$17879.00,$620.00,$466.00,$18965.00,$2.56,$104325.00,$16328.00,$120653.00,$29224.00,$168842.00,$22.83,$18400.00,N/A,15157,3981,19138,2.59,0,N/A,N/A,2089,N/A,N/A,785,22012,38,4,42,25,0,N/A,N/A,5588,75.54%,32396,4.38,6240,0.84,26310,8596,34906,4.72,1.59%,269,279,46,62,3,111,996,1497,21,2514,0.34,N/A,N/A,N/A,15,11,N/A,247,50,high speed,No,na,y-86,Incorporated,Yes,Mandarin,"202 Main St
Newport, VT 05855
(44.93554600100049, -72.21010888899963)",5000,www.goodrichlibrary.org,Newport
2011-2012,VT0078,ISLE LA MOTTE,Isle La Motte Free Public,2238 Main St.,2238 Main St.,Grand Isle,(802) 928-4113,N/R,N/R,512,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,420,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"2238 Main St.
Isle La Motte, VT 05463
(44.878198075000455, -73.33818793099965)",,N/R,Isle La Motte
